lon,lat,obs
-97.1483412,29.2133329,56
-97.1112208,39.0607981,26
-97.0259942,29.7858555,136
-97.0124144,39.9367553,23
-96.9354075,29.0185167,162
-96.9117521,38.5224225,25
-96.9002609,38.9939527,79
-96.8711409,39.9000807,25
-96.8055652,32.7295462,41
-96.787429,42.60783,2
-96.7585531,33.6818377,54
-96.7354923,42.1915702,8
-96.7200416,30.7618885,88
-96.6532289,30.2009897,100
-96.6110675,31.3143036,62
-96.5605733,38.3623234,25
-96.550258,29.513077,45
-96.540489,41.952142,5
-96.508686,31.283557,50
-96.434896,35.1013362,90
-96.4347911,37.7958024,39
-96.3936159,37.9847547,4
-96.388121,40.088258,29
-96.3743819,42.4902437,10
-96.312527,40.928807,53
-96.2929845,35.9702777,43
-96.287056,41.153717,13
-96.2756889,43.2574697,1
-96.2228399,31.8611947,40
-96.2152819,28.6112037,33
-96.1971289,30.5287787,87
-96.1830378,43.5872765,3
-96.1349747,32.5698812,19
-96.1218109,35.7262277,76
-96.1012279,37.3003447,10
-96.08125,41.34351,19
-96.0804439,29.7269807,29
-96.0668798,40.4650912,17
-96.0651288,33.3677874,98
-96.0624096,36.7671854,6
-96.0493689,36.3614547,24
-96.0269519,39.7690906,26
-95.9888795,46.4410069,1
-95.9711149,31.8546877,92
-95.935571,40.058857,16
-95.9097289,38.9715017,47
-95.8749629,31.8055475,52
-95.8646727,46.1225194,1
-95.8576087,38.5354618,41
-95.831598,29.7863554,41
-95.8134099,36.4091897,21
-95.8000355,30.7848996,95
-95.7947529,40.5520447,35
-95.7806629,35.1738817,34
-95.7686619,28.7496887,52
-95.7430805,32.1808084,60
-95.7027429,33.6972087,13
-95.6260432,30.6060845,69
-95.618782,29.1806007,96
-95.6139832,28.9083337,61
-95.5671042,39.0805438,51
-95.5347369,39.251508,60
-95.5021369,30.5338929,24
-95.5008159,37.8493327,33
-95.4488589,37.3690207,37
-95.3548669,34.5284297,21
-95.3249979,37.5148587,53
-95.3001789,31.5634237,76
-95.2839819,32.0682917,77
-95.2442265,29.1267731,46
-95.2272709,39.7839097,21
-95.1259581,40.6242636,34
-95.1256319,36.917343700000004,49
-95.1212223,38.680958,16
-95.0331182,40.025462,12
-94.944187,39.439109,29
-94.9309459,34.5280637,39
-94.8876259,35.8426817,68
-94.8524242,40.0840684,16
-94.846167,44.499148,2
-94.78207,34.2484599,14
-94.7471681,33.3601066,55
-94.7071599,34.5662622,19
-94.700216,30.681046,63
-94.6982489,36.9292257,71
-94.6654829,39.6539807,50
-94.653845,34.3930749,13
-94.6223207,34.7654129,6
-94.6125164,38.215197,61
-94.571273,42.041859,6
-94.5655139,33.9247807,40
-94.550529,30.2728898,49
-94.5202804,31.8819446,122
-94.5044339,33.5678857,12
-94.5010299,39.3970207,70
-94.4007057,29.7343527,5
-94.365017,46.754647,2
-94.350659,36.995397,47
-94.344402,35.615095,31
-94.3415601,29.6706502,9
-94.3318236,35.3514159,31
-94.307851,43.5872553,1
-94.305307,34.462149,16
-94.3011859,44.3009187,10
-94.295246,42.6019638,1
-94.282506,38.645253,7
-94.2388636,36.5642282,17
-94.201898,40.172626,45
-94.196858,45.1642488,19
-94.1845047,30.5957539,60
-94.1555047,32.4388568,9
-94.1444549,41.6586017,23
-94.1422189,40.1002567,30
-94.1229479,33.6969877,48
-94.1191991,37.1404034,53
-94.1050404,38.6698532,63
-94.0899029,30.7962929,39
-94.0861889,41.7176327,10
-94.0440279,34.9704407,9
-94.0432501,29.9141577,47
-94.040652,37.537148,89
-94.0314709,44.6299537,15
-94.0095139,43.2388517,1
-94.006856,33.782848,79
-93.9744951,32.0735964,86
-93.9263149,31.6172317,63
-93.9101019,36.6608617,18
-93.8828669,45.6049323,8
-93.8518459,37.7705887,40
-93.8401499,38.1949807,51
-93.8210314,35.6923427,27
-93.8041794,39.3300772,48
-93.726898,37.396993,38
-93.689266,34.65949,13
-93.68179,35.075027,49
-93.6694105,33.6627163,60
-93.6640897,35.4263985,50
-93.6459209,30.7308697,71
-93.6014381,46.3671876,2
-93.586986,30.161849,68
-93.5734938,31.6696396,62
-93.5563439,40.0903817,25
-93.513291,37.4542087,49
-93.4958419,31.0660928,58
-93.482775,32.5540378,38
-93.471591,44.974215,36
-93.4714512,45.1025755,34
-93.4706879,33.3755757,40
-93.469628,38.372932,33
-93.4428329,31.9877557,83
-93.4248279,35.1599347,10
-93.3981849,36.8802807,52
-93.361368,30.085044,61
-93.3469609,42.1663807,4
-93.338346,40.466853,25
-93.3337301,44.6596006,22
-93.3184289,30.8315727,48
-93.2948547,35.6440029,12
-93.2802279,36.1206137,16
-93.2513959,34.0344927,23
-93.2211229,38.4464167,18
-93.1717427,40.8887105,8
-93.1678412,30.4099932,53
-93.1474655,31.4823534,96
-93.1267409,39.7948327,21
-93.105827,36.536803,31
-93.103781,41.4022592,44
-93.0208129,45.9187187,1
-93.0194666,43.6884582,6
-93.0158239,29.7706489,30
-92.9744729,36.6429207,12
-92.967494,33.454572,36
-92.963258,31.5639297,82
-92.962092,30.2754072,27
-92.9258039,37.5143127,54
-92.900614,38.2794376,22
-92.8864804,40.6527332,26
-92.8345789,37.3383177,58
-92.8007333,34.7023815,33
-92.7478269,45.0280407,5
-92.7182699,35.6330837,31
-92.6974039,33.5907857,30
-92.633333,34.35,30
-92.5999229,38.1619747,64
-92.5966809,29.9956057,51
-92.5567869,39.4294496,46
-92.554325,40.402616,20
-92.547115,39.026638,62
-92.5292739,43.6016207,13
-92.5154419,40.1681387,5
-92.5003493,36.857026,44
-92.4966959,40.0661717,13
-92.4508969,30.0808747,50
-92.442323,35.939336,31
-92.441823,37.937149,19
-92.434843,38.5860411,47
-92.4323269,30.6521557,95
-92.4279399,44.6509917,9
-92.36526,38.322228,54
-92.3572989,41.8190707,19
-92.3460469,32.3059287,38
-92.3452484,44.5207119,8
-92.31192,31.486387,56
-92.3067829,29.5532551,19
-92.2602299,41.6735997,11
-92.2585749,43.3492727,12
-92.2329247,29.8458497,54
-92.1893609,39.4571477,31
-92.154503,37.618747,24
-92.1260979,32.0511467,43
-92.1148009,36.4061087,38
-92.091025,43.89763,25
-92.0510279,31.8183596,56
-92.001796,34.559183,37
-91.989433,44.05684,5
-91.9847259,38.0833137,17
-91.9569658,29.9842321,62
-91.9109869,31.9003707,51
-91.875498,43.095187,4
-91.824506,36.56879,55
-91.823103,40.583201,23
-91.8218079,46.0670957,1
-91.815904,39.832371,57
-91.8060379,38.3512407,31
-91.7164602,40.4712811,20
-91.7077371,34.7008083,14
-91.6956394,42.2119974,26
-91.6904455,43.8139858,18
-91.6865341,36.8637267,35
-91.6797963,40.7698922,27
-91.6793739,44.4009957,19
-91.658032,35.373736,39
-91.65069,32.385442,52
-91.6352162,30.3686157,72
-91.627441,32.551556,50
-91.6100939,38.9160367,55
-91.5965299,31.7369095,61
-91.556756,39.6396973,23
-91.5529269,37.3759607,14
-91.5183169,32.9737057,48
-91.5109166,30.8692521,93
-91.5101169,30.3986037,102
-91.4995419,34.0487397,96
-91.4793629,45.3129597,4
-91.4440435,31.9792958,47
-91.4269719,32.4856776,37
-91.4239279,37.9039787,18
-91.4172439,42.1986127,3
-91.3711239,44.0129837,47
-91.366531,32.3123624,50
-91.3426352,35.9114603,52
-91.3051159,45.8488177,1
-91.2948909,43.5007917,26
-91.271917,37.967583,29
-91.2703838,41.5687389,24
-91.2622069,32.8550727,34
-91.253776,38.454195,26
-91.251362,41.7287592,28
-91.2159803,39.5296983,22
-91.2112109,30.4743657,57
-91.1957095,30.4128796,60
-91.1942679,45.7114417,1
-91.1829978,40.2137205,12
-91.1801812,30.4157544,95
-91.1438533,39.1033113,18
-91.1273048,40.0572405,19
-91.1258789,44.9295287,9
-91.1039109,30.9782167,69
-91.0779429,43.0674397,7
-91.05911,31.84267,40
-91.0309594,37.5165109,3
-91.0057829,43.7898747,20
-90.99072,29.6872546,37
-90.9894119,36.7289917,18
-90.9814019,40.6514497,14
-90.9601049,42.8165957,24
-90.9431159,38.4847647,48
-90.9416869,30.2694157,58
-90.9316336,40.0179525,24
-90.9214239,29.9029097,51
-90.901184,33.6867588,37
-90.9006359,41.0847167,17
-90.890831,39.225067,37
-90.89045,32.282286,66
-90.8675449,43.5329127,17
-90.84771,32.34472,69
-90.749474,32.1287076,39
-90.7479869,36.5936897,50
-90.7422119,43.3269947,14
-90.7326251,30.8571966,78
-90.7309499,44.4222277,1
-90.684515,34.7364157,61
-90.6809479,35.4848667,18
-90.6744,32.38947,45
-90.6626669,43.0391137,14
-90.6467484,37.6701567,21
-90.6070319,42.0435847,17
-90.5588309,29.7559597,90
-90.558115,37.671966,29
-90.550608,39.2888385,34
-90.5490559,36.9623781,3
-90.5367439,45.0884697,1
-90.5307719,41.3410603,16
-90.5110779,30.7018587,84
-90.5087794,40.8602881,10
-90.5065699,34.9269397,45
-90.4983459,34.4218377,50
-90.4577249,34.5002597,62
-90.4357819,42.5180847,1
-90.4109104,39.799577,35
-90.4058819,39.8173797,8
-90.3827969,44.1973007,7
-90.3574219,44.8143967,6
-90.3552409,43.7857987,19
-90.3451209,39.9897988,4
-90.3074923,37.2598585,28
-90.30616,32.35975,35
-90.2964159,41.9751747,11
-90.2867129,35.5182227,18
-90.2808839,42.3972257,17
-90.2491541,30.8801251,78
-90.248525,36.119345,44
-90.2112029,42.9378547,20
-90.2094039,43.8227657,14
-90.1939619,33.9855857,49
-90.1935199,32.8000347,44
-90.1872869,45.6572627,1
-90.1660041,39.4187241,54
-90.146244,30.832203,37
-90.1416549,33.7693377,35
-90.1357207,40.3045239,13
-90.097125,33.2231312,38
-90.0875099,45.3240447,1
-90.0763459,37.6791707,48
-90.0650949,44.6989087,5
-90.0603721,42.2101956,27
-90.043274,32.0948643,47
-90.0331516,40.9170762,8
-90.0300702,41.3974197,16
-90.000225,35.901224,9
-89.9669461,29.6924898,50
-89.9655699,42.6391427,15
-89.8675417,32.5813361,23
-89.8669289,43.4457507,25
-89.8554319,44.4454137,11
-89.8453979,30.2700817,75
-89.8313118,39.3988002,9
-89.8249757,40.0839936,7
-89.8193422,38.5256201,25
-89.8113619,34.8019937,43
-89.8075467,37.2408609,63
-89.7938841,40.9305488,6
-89.7704347,41.3504896,31
-89.7648861,42.1401616,26
-89.7510457,39.9548261,24
-89.7475091,37.9708433,50
-89.7223899,33.6380917,26
-89.7137542,30.7939126,25
-89.7085965,41.3356226,28
-89.7037028,38.320123,10
-89.6888585,34.9641831,45
-89.6694319,41.8306867,36
-89.6668479,43.0002617,13
